entity,type
Naikon,intrusion-set
APT30,intrusion-set
Southeast Asia,location
Chinese,location
ASEAN,location
Google,identity
Adobe,identity
Military Region Second Technical Reconnaissance Bureau,identity
PLA,identity
United Nations,identity
Liberation Army,identity
Windows,identity
LadonGo,tool
schtasks.exe,tool
Rancor,intrusion-set
schtasks,tool
VBS,tool
certutil,tool
cmd.exe,tool
Microsoft Office,identity
East Asia,location
Mabna Institute,intrusion-set
Silent Librarian,intrusion-set
Iran,location
universities,identity
Wizard Spider,intrusion-set
Russia,location
TrickBot,malware
Empire,tool
PowerShell scripts,tool
Mimikatz,tool
Metasploit,tool
hospitals,identity
Windigo,intrusion-set
backdoor,tool
backdoors,tool
Windows,identity
Ebury,malware
Leviathan,intrusion-set
Southeast Asia,location
Europe,location
Canada,location
Chinese,location
Middle East,location
US,location
TechNet,identity
healthcare,identity
Github,identity
LUNCHMONEY,malware
SeDll,malware
HOMEFRY,malware
Dropbox,tool
backdoors,tool
ProcDump,tool
BITSAdmin ,tool
WCE,tool
Gallmaker,intrusion-set
Middle East,location
WinZip,tool
Microsoft Office,identity
Microsoft,identity
Fox Kitten,intrusion-set
North America,location
Europe,location
Middle East,location
North Africa,location
Iranian,location
Australia,location
7-Zip,tool
RDP,tool
PsExec,tool
Perl,tool
PowerShell scripts,tool
KeePass,identity
healthcare,identity
KeyBase,identity
Honeybee,intrusion-set
Argentina,location
Vietnam,location
Canada,location
Indonesia,location
Singapore,location
Japan,location
FTP,tool
systeminfo,tool
MaoCheng,malware
Higaisa,intrusion-set
Russia,location
Poland,location
North Korea,location
South Korean,location
Japan,location
China,location
ipconfig,tool
FakeTLS,tool
cmd.exe,tool
Elderwood,intrusion-set
Chinese,location
Google,identity
Ritsol,malware
Aurora,malware
Deep Panda,intrusion-set
PinkPanther,intrusion-set
Black Vine,intrusion-set
WebMasters,intrusion-set
KungFu Kittens,intrusion-set
APT19,intrusion-set
Chinese,location
healthcare,identity
industries,identity
Anthem,identity
Tasklist,tool
Shell Crew,tool
PowerShell scripts,tool
ping,tool
Derusbi,malware
DarkHydrus,intrusion-set
Middle East,location
Empire,tool
Mimikatz,tool
Cobalt Strike,tool
Microsoft Office,identity
Microsoft Word,identity
Microsoft Excel,identity
Phishery,malware
Cobalt Strike,malware
CopyKittens,intrusion-set
Israel,location
Germany,location
Saudi Arabia,location
U.S.,location
Jordan,location
Iranian,location
Turkey,location
NET,tool
Empire,tool
ZIP,tool
PowerShell Empire,tool
shellcode,tool
Metasploit,tool
certificate,indicator
Vminst,malware
Cobalt Strike,malware
Cobalt Group,intrusion-set
Central Asia,location
Eastern Europe,location
Southeast Asia,location
Spain,location
backdoor,tool
Threadkit,tool
SDelete,tool
Plink,tool
Mimikatz,tool
Cobalt Strike,tool
PsExec,tool
cmd.exe,tool
UAC,identity
Cobalt Strike,malware
Carbanak,malware
Axiom,intrusion-set
Axiom ,intrusion-set
Winnti Group,intrusion-set
Chinese,location
ALLANITE,intrusion-set
Dragonfly,intrusion-set
Russian,location
United Kingdom,location
United States,location
Stealth Falcon,intrusion-set
UAE,location
Emirati,location
United Arab Emirates,location
NET,tool
Windows Credential Vault,tool
LazyScripter,intrusion-set
rundll32.exe,tool
PowerShell script,tool
BatchEncryption,tool
GitHub,identity
industry,identity
Nomadic Octopus,intrusion-set
cmd.exe,tool
Russian,location
Central Asia,location
Windows,identity
Android,identity
Octopus,malware
 ZIRCONIUM,intrusion-set
ZIRCONIUM,intrusion-set
msiexec.exe,tool
Dropbox,tool
US,location
China,location
GitHub,identity
Microsoft,identity
Google,identity
Mustang Panda,intrusion-set
Vietnam,location
Europe,location
U.S,location
Pakistan,location
Myanmar,location
Mongolia,location
China,location
DropBox,tool
RAR,tool
PowerShell scripts,tool
PlugX,malware
Whitefly,intrusion-set
SingHealth,identity
Singapore,location
Vcrodat,malware
Mimikatz,tool
GALLIUM,intrusion-set
Taiwan,location
Chinese,location
PoisonIvy,malware
Web shells,tool
WinRAR,tool
HTRAN,tool
PsExec,tool
Dragonfly,intrusion-set
Russia,location
industrial control systems,identity
lnk,identity
Microsoft Exchange,identity
Citrix,identity
FSB,identity
SMB,tool
Microsoft Exchange,tool
CrackMapExec,tool
PowerShell scripts,tool
Lazarus Group,intrusion-set
Andariel,intrusion-set
North Korean,location
North Korea,location
South Korean,location
Bureau,identity
Flash Player,tool
tasklist,tool
netstat,tool
Blue Mockingbird,intrusion-set
Windows,identity
JuicyPotato,malware
NET,tool
XMRIG,tool
Mimikatz,tool
Inception,intrusion-set
LaZagne,tool
Europe,location
Russia,location
Asia,location
Middle East,location
United States,location
Africa,location
industries,identity
FIN7,intrusion-set
MuddyWater,intrusion-set
Middle Eastern,location
European,location
North American,location
Browser64,tool
LaZagne,tool
makecab.exe,tool
cmd.exe,tool
Out1,tool
UAC,identity
Windows,identity
POWERSTATS,malware
PLATINUM,intrusion-set
Intel,identity
Windows,identity
South and Southeast Asia,location
TA459,intrusion-set
Belarus,location
China,location
Mongolia,location
Russia,location
Microsoft,identity
FIN8,intrusion-set
industries,identity
cmd,tool
RAR,tool
FTP,tool
Plink,tool
WMI,tool
FIN7,intrusion-set
Carbanak,intrusion-set
PowerShell script,tool
PowerShell,tool
U.S.,location
REvil,malware
Darkside,malware
Carbanak,malware
FIN6,intrusion-set
HARDTACK,malware
SHIPBREAD,malware
Stealer,malware
Metasploit,tool
kill.bat,tool
FTP,tool
PsExec,tool
FIN5,intrusion-set
Citrix,identity
industries,identity
Russian,location
FLIPSIDE,malware
GET2,malware
Windows Credential Editor,tool
pwdump,tool
SDelete,tool
RDP,tool
PsExec,tool
FIN10,intrusion-set
North America,location
PowerShell Empire,tool
Meterpreter,tool
SplinterRAT,malware
APT41,intrusion-set
BARIUM,intrusion-set
Winnti Group,intrusion-set
industries,identity
Citrix,identity
healthcare,identity
Encryptor RaaS,malware
Cobalt Strike,malware
BITSAdmin,tool
BEACON,tool
backdoors,tool
cmd.exe,tool
ftp,tool
APT39,intrusion-set
MOIS,identity
industries,identity
Computing,identity
North America,location
Europe,location
Iran,location
Asia,location
Iranian,location
Africa,location
7-Zip,tool
WinRAR,tool
APT38,intrusion-set
Bancomext,identity
Bureau,identity
Banco de Chile,identity
Bank,identity
Bangladesh,location
North Korean,location
Chile,location
NACHOCHEESE,malware
Hermes,malware
KEYLIME,malware
VBScript,tool
backdoor,tool
Lazarus Group,intrusion-set
APT37,intrusion-set
Vietnam,location
South Korea,location
Russia,location
Middle East,location
Romania,location
North Korean,location
Nepal,location
South Korean,location
Japan,location
Kuwait,location
India,location
China,location
Windows,identity
MBR,identity
Erebus,malware
ZUMKONG,malware
RICECURRY,malware
stealer,malware
APT33,intrusion-set
industries,identity
Saudi Arabia,location
United States,location
South Korea,location
DarkComet,tool
LaZagne,tool
WinRAR,tool
FTP,tool
APT32,intrusion-set
Facebook,identity
industries,identity
Google,identity
Amazon,identity
Vietnam,location
Cambodia,location
Philippines,location
Laos,location
PowerShell scripts,tool
backdoor,tool
Dropbox,tool
cmd.exe,tool
Cobalt Strike,malware
Deep Panda,intrusion-set
APT19,intrusion-set
industries,identity
Empire,tool
APT3,intrusion-set
State,location
US,location
China,location
Hong Kong,location
Microsoft Office,identity
cmd.exe,tool
APT28,intrusion-set
Sandworm Team,intrusion-set
Caucasus,location
Swiss,location
US,location
Russia,location
DNC,identity
Google,identity
NATO,identity
Main Intelligence Directorate,identity
Blogspot,tool
WinRAR,tool
CHOPSTICK,malware
APT18,intrusion-set
Windows task scheduler,tool
cmd.exe,tool
industries,identity
APT12,intrusion-set
China,location
Flash,tool
Adobe Reader,tool
Microsoft Word,tool
Microsoft Office,identity
Microsoft,identity
APT1,intrusion-set
Bureau,identity
Liberation Army,identity
PLA,identity
ipconfig,tool
RDP,tool
Mimikatz,tool
tasklist,tool
Acrobat Reader,tool
MAPIGET,malware
GETMAIL,malware
WeChat,identity
QUANTUM,identity
Wangwang,identity
Kaspersky,identity
Skype,identity
QQ,identity
screenshot,indicator
Germany,location
Russia,location
Asia,location
United States,location
East Asia,location
Japan,location
India,location
China,location
Czech Republic,location
Austria,location
Demsty,malware
WinDealer,malware
SpyDealer,malware
backdoor,tool
ping,tool
LuoYu,threat-actor
Dark Halo,intrusion-set
UNC2452,intrusion-set
Cozy Bear,intrusion-set
APT29,intrusion-set
StellarParticle,intrusion-set
The Dukes,intrusion-set
NOBELIUM,intrusion-set
North America,location
Europe,location
Russia,location
Asia,location
Middle East,location
UK,location
US,location
SolarWinds,identity
Foreign Intelligence Service,identity
Twitter,identity
NATO,identity
WinRM,tool
Rundll32,tool
7-Zip,tool
PowerShell,tool
Raindrop,malware
HAMMERTOSS,malware
APT32 ,intrusion-set
Lotus Blossom,intrusion-set
ASEAN,location
Norton Security,identity
NetWitness,identity
Accenture,identity
Palo Alto,identity
Volexity,identity
ASEAN Defence Minister's Meeting,identity
Elise,malware
ANY.RUN,tool
Internet Explorer,tool
Microsoft Equation Editor,tool
FIN4,intrusion-set
Outlook,identity
pharmaceutical,identity
healthcare,identity
keylogger,indicator
NET,tool
Tor,tool
APT30,intrusion-set
Naikon,intrusion-set
Chinese,location
ASEAN,location
Southeast Asia,location
DLL side-loading,attack-pattern
credentials,attack-pattern
Google,identity
Liberation Army,identity
PLA,identity
Windows,identity
Military Region Second Technical Reconnaissance Bureau,identity
United Nations,identity
Adobe,identity
schtasks.exe,tool
LadonGo,tool
Rancor,intrusion-set
schtasks,tool
cmd.exe,tool
VBS,tool
certutil,tool
msiexec,attack-pattern
scheduled task,attack-pattern
Microsoft Office,identity
East Asia,location
Silent Librarian,intrusion-set
Mabna Institute,intrusion-set
Iran,location
password spraying,attack-pattern
phishing,attack-pattern
domains,attack-pattern
credentials,attack-pattern
universities,identity
Wizard Spider,intrusion-set
Russia,location
TrickBot,malware
PowerShell,attack-pattern
credentials,attack-pattern
Empire,tool
Mimikatz,tool
PowerShell scripts,tool
Metasploit,tool
hospitals,identity
Windigo,intrusion-set
backdoor,tool
backdoors,tool
botnet,attack-pattern
credentials in files,attack-pattern
proxy,attack-pattern
SSH,attack-pattern
backdoors,attack-pattern
Windows,identity
Ebury,malware
Leviathan,intrusion-set
Canada,location
Europe,location
US,location
Southeast Asia,location
Chinese,location
Middle East,location
Github,identity
healthcare,identity
TechNet,identity
regsvr32,attack-pattern
PowerShell,attack-pattern
servers,attack-pattern
domains,attack-pattern
JavaScript,attack-pattern
HOMEFRY,malware
LUNCHMONEY,malware
SeDll,malware
Dropbox,tool
ProcDump,tool
BITSAdmin ,tool
WCE,tool
backdoors,tool
Gallmaker,intrusion-set
Middle East,location
WinZip,tool
PowerShell,attack-pattern
Microsoft,identity
Microsoft Office,identity
Fox Kitten,intrusion-set
North Africa,location
Europe,location
Australia,location
Iranian,location
North America,location
Middle East,location
7-Zip,tool
Perl,tool
PsExec,tool
RDP,tool
PowerShell scripts,tool
NTDS,attack-pattern
PowerShell,attack-pattern
credentials,attack-pattern
healthcare,identity
KeyBase,identity
KeePass,identity
Honeybee,intrusion-set
Vietnam,location
Canada,location
Indonesia,location
Singapore,location
Argentina,location
Japan,location
Visual Basic,attack-pattern
FTP,tool
systeminfo,tool
MaoCheng,malware
Higaisa,intrusion-set
China,location
South Korean,location
North Korea,location
Russia,location
Poland,location
Japan,location
server,attack-pattern
JavaScript,attack-pattern
proxy,attack-pattern
FakeTLS,tool
cmd.exe,tool
ipconfig,tool
Elderwood,intrusion-set
Chinese,location
Google,identity
Aurora,malware
Ritsol,malware
server,attack-pattern
vulnerabilities,attack-pattern
exploits,attack-pattern
Deep Panda,intrusion-set
PinkPanther,intrusion-set
WebMasters,intrusion-set
KungFu Kittens,intrusion-set
APT19,intrusion-set
Black Vine,intrusion-set
Chinese,location
Anthem,identity
healthcare,identity
industries,identity
ping,tool
Shell Crew,tool
Tasklist,tool
PowerShell scripts,tool
PowerShell,attack-pattern
credentials,attack-pattern
server,attack-pattern
sticky-keys,attack-pattern
net.exe,attack-pattern
Derusbi,malware
DarkHydrus,intrusion-set
Middle East,location
PowerShell,attack-pattern
credentials,attack-pattern
server,attack-pattern
Template Injection,attack-pattern
Forced Authentication,attack-pattern
Empire,tool
Mimikatz,tool
Cobalt Strike,tool
Microsoft Word,identity
Microsoft Office,identity
Microsoft Excel,identity
Phishery,malware
Cobalt Strike,malware
CopyKittens,intrusion-set
U.S.,location
Iranian,location
Germany,location
Jordan,location
Saudi Arabia,location
Israel,location
Turkey,location
Operation Wilted Tulip,campaign
PowerShell Empire,tool
ZIP,tool
Metasploit,tool
Empire,tool
NET,tool
shellcode,tool
rundll32,attack-pattern
PowerShell,attack-pattern
certificate,indicator
Cobalt Strike,malware
Vminst,malware
Cobalt Group,intrusion-set
Eastern Europe,location
Southeast Asia,location
Spain,location
Central Asia,location
SSH,attack-pattern
PowerShell,attack-pattern
JavaScript,attack-pattern
DNS,attack-pattern
Mimikatz,tool
backdoor,tool
Threadkit,tool
Plink,tool
Cobalt Strike,tool
SDelete,tool
PsExec,tool
cmd.exe,tool
UAC,identity
Carbanak,malware
Cobalt Strike,malware
Axiom ,intrusion-set
Winnti Group,intrusion-set
Axiom,intrusion-set
Chinese,location
phishing,attack-pattern
digital certificates,attack-pattern
credentials,attack-pattern
DNS,attack-pattern
ALLANITE,intrusion-set
Dragonfly,intrusion-set
United Kingdom,location
United States,location
Russian,location
phishing,attack-pattern
watering hole,attack-pattern
credentials,attack-pattern
Stealth Falcon,intrusion-set
server,attack-pattern
PowerShell,attack-pattern
Windows Management Instrumentation,attack-pattern
United Arab Emirates,location
UAE,location
Emirati,location
NET,tool
Windows Credential Vault,tool
LazyScripter,intrusion-set
PowerShell,attack-pattern
JavaScript,attack-pattern
DNS,attack-pattern
BatchEncryption,tool
rundll32.exe,tool
PowerShell script,tool
GitHub,identity
industry,identity
Nomadic Octopus,intrusion-set
cmd.exe,tool
hidden window,attack-pattern
PowerShell,attack-pattern
Central Asia,location
Russian,location
Android,identity
Windows,identity
Octopus,malware
 ZIRCONIUM,intrusion-set
ZIRCONIUM,intrusion-set
Dropbox,tool
msiexec.exe,tool
Python,attack-pattern
domains,attack-pattern
credentials,attack-pattern
Windows Command Shell,attack-pattern
China,location
US,location
Google,identity
Microsoft,identity
GitHub,identity
Mustang Panda,intrusion-set
PowerShell,attack-pattern
domains,attack-pattern
Europe,location
Vietnam,location
China,location
Pakistan,location
Mongolia,location
U.S,location
Myanmar,location
RAR,tool
DropBox,tool
PowerShell scripts,tool
PlugX,malware
Whitefly,intrusion-set
SingHealth,identity
Singapore,location
server,attack-pattern
credentials,attack-pattern
Vcrodat,malware
Mimikatz,tool
GALLIUM,intrusion-set
Chinese,location
Taiwan,location
PoisonIvy,malware
Web shells,tool
WinRAR,tool
PsExec,tool
HTRAN,tool
PowerShell,attack-pattern
credentials,attack-pattern
Windows command shell,attack-pattern
DLL side-loading,attack-pattern
Dragonfly,intrusion-set
Russia,location
PowerShell,attack-pattern
scripting,attack-pattern
credentials,attack-pattern
domains,attack-pattern
Forced Authentication,attack-pattern
brute force,attack-pattern
password cracking,attack-pattern
drive-by compromise,attack-pattern
industrial control systems,identity
Citrix,identity
FSB,identity
Microsoft Exchange,identity
lnk,identity
PowerShell scripts,tool
Microsoft Exchange,tool
CrackMapExec,tool
SMB,tool
Lazarus Group,intrusion-set
Andariel,intrusion-set
North Korea,location
North Korean,location
South Korean,location
vulnerabilities,attack-pattern
exploits,attack-pattern
Bureau,identity
tasklist,tool
netstat,tool
Flash Player,tool
Operation GoldenAxe,campaign
Operation Black Mine,campaign
Campaign Rifle,campaign
Blue Mockingbird,intrusion-set
PowerShell,attack-pattern
credentials,attack-pattern
COR_PROFILER,attack-pattern
LSASS memory,attack-pattern
Windows Service,attack-pattern
Windows,identity
JuicyPotato,malware
NET,tool
XMRIG,tool
Mimikatz,tool
Inception,intrusion-set
LaZagne,tool
PowerShell,attack-pattern
Europe,location
Africa,location
Asia,location
Russia,location
Middle East,location
United States,location
industries,identity
FIN7,intrusion-set
MuddyWater,intrusion-set
European,location
Middle Eastern,location
North American,location
Out1,tool
LaZagne,tool
cmd.exe,tool
makecab.exe,tool
Browser64,tool
UAC,identity
Windows,identity
PowerShell,attack-pattern
Python,attack-pattern
JavaScript,attack-pattern
POWERSTATS,malware
PLATINUM,intrusion-set
Intel,identity
Windows,identity
process injection,attack-pattern
credentials,attack-pattern
South and Southeast Asia,location
TA459,intrusion-set
Russia,location
Belarus,location
China,location
Mongolia,location
PowerShell,attack-pattern
Microsoft,identity
FIN8,intrusion-set
PowerShell,attack-pattern
domains,attack-pattern
industries,identity
FTP,tool
Plink,tool
cmd,tool
WMI,tool
RAR,tool
Carbanak,intrusion-set
FIN7,intrusion-set
PowerShell,tool
PowerShell script,tool
U.S.,location
phishing,attack-pattern
JavaScript,attack-pattern
domains,attack-pattern
DNS,attack-pattern
Carbanak,malware
REvil,malware
Darkside,malware
FIN6,intrusion-set
HARDTACK,malware
Stealer,malware
SHIPBREAD,malware
PowerShell,attack-pattern
scripting,attack-pattern
JavaScript,attack-pattern
FTP,tool
PsExec,tool
kill.bat,tool
Metasploit,tool
FIN5,intrusion-set
VNC,attack-pattern
credentials,attack-pattern
proxy,attack-pattern
Citrix,identity
industries,identity
Russian,location
FLIPSIDE,malware
GET2,malware
pwdump,tool
SDelete,tool
Windows Credential Editor,tool
PsExec,tool
RDP,tool
FIN10,intrusion-set
PowerShell,attack-pattern
credentials,attack-pattern
software,attack-pattern
RDP,attack-pattern
Scheduled Task,attack-pattern
North America,location
Meterpreter,tool
PowerShell Empire,tool
SplinterRAT,malware
BARIUM,intrusion-set
APT41,intrusion-set
Winnti Group,intrusion-set
PowerShell,attack-pattern
exploits,attack-pattern
DNS,attack-pattern
Citrix,identity
healthcare,identity
industries,identity
Cobalt Strike,malware
Encryptor RaaS,malware
BITSAdmin,tool
BEACON,tool
ftp,tool
cmd.exe,tool
backdoors,tool
APT39,intrusion-set
PowerShell,attack-pattern
python,attack-pattern
credentials,attack-pattern
DNS,attack-pattern
Computing,identity
MOIS,identity
industries,identity
Europe,location
Africa,location
Iranian,location
Asia,location
North America,location
Iran,location
7-Zip,tool
WinRAR,tool
APT38,intrusion-set
server,attack-pattern
Windows service,attack-pattern
PowerShell,attack-pattern
brute force,attack-pattern
Bureau,identity
Bancomext,identity
Bank,identity
Banco de Chile,identity
Chile,location
North Korean,location
Bangladesh,location
Hermes,malware
KEYLIME,malware
NACHOCHEESE,malware
VBScript,tool
backdoor,tool
APT37,intrusion-set
Lazarus Group,intrusion-set
South Korea,location
Vietnam,location
China,location
South Korean,location
Middle East,location
Romania,location
North Korean,location
Nepal,location
Russia,location
Kuwait,location
Japan,location
India,location
Javascript,attack-pattern
Python,attack-pattern
MBR,identity
Windows,identity
RICECURRY,malware
stealer,malware
ZUMKONG,malware
Erebus,malware
Operation Daybreak,campaign
APT33,intrusion-set
server,attack-pattern
password spraying,attack-pattern
PowerShell,attack-pattern
credentials,attack-pattern
industries,identity
South Korea,location
Saudi Arabia,location
United States,location
FTP,tool
WinRAR,tool
DarkComet,tool
LaZagne,tool
APT32,intrusion-set
Windows Services,attack-pattern
PowerShell,attack-pattern
JavaScript,attack-pattern
domains,attack-pattern
Google,identity
Amazon,identity
Facebook,identity
industries,identity
Cambodia,location
Vietnam,location
Laos,location
Philippines,location
cmd.exe,tool
Dropbox,tool
backdoor,tool
PowerShell scripts,tool
Cobalt Strike,malware
Deep Panda,intrusion-set
APT19,intrusion-set
industries,identity
PowerShell,attack-pattern
server,attack-pattern
phishing,attack-pattern
exploits,attack-pattern
Regsvr32,attack-pattern
Empire,tool
APT3,intrusion-set
State,location
China,location
US,location
Hong Kong,location
PowerShell,attack-pattern
brute force,attack-pattern
new service,attack-pattern
credentials,attack-pattern
Microsoft Office,identity
cmd.exe,tool
APT28,intrusion-set
Sandworm Team,intrusion-set
Russia,location
Caucasus,location
Swiss,location
US,location
Clinton,campaign
DNC,identity
NATO,identity
Main Intelligence Directorate,identity
Google,identity
Blogspot,tool
WinRAR,tool
credentials,attack-pattern
archive collected data,attack-pattern
domains,attack-pattern
password guessing,attack-pattern
brute force,attack-pattern
Powershell,attack-pattern
CHOPSTICK,malware
APT18,intrusion-set
cmd.exe,tool
Windows task scheduler,tool
external remote services,attack-pattern
credentials,attack-pattern
DNS,attack-pattern
industries,identity
APT12,intrusion-set
China,location
vulnerabilities,attack-pattern
DNS Calculation,attack-pattern
Microsoft Word,tool
Flash,tool
Adobe Reader,tool
Microsoft,identity
Microsoft Office,identity
APT1,intrusion-set
scripting,attack-pattern
spearphishing,attack-pattern
email accounts,attack-pattern
pass the hash,attack-pattern
domains,attack-pattern
phishing,attack-pattern
Windows command shell,attack-pattern
Bureau,identity
Liberation Army,identity
PLA,identity
Mimikatz,tool
ipconfig,tool
tasklist,tool
Acrobat Reader,tool
RDP,tool
GETMAIL,malware
MAPIGET,malware
server,attack-pattern
IP addresses,attack-pattern
domains,attack-pattern
hardware,attack-pattern
DNS,attack-pattern
WeChat,identity
Wangwang,identity
QQ,identity
QUANTUM,identity
Kaspersky,identity
Skype,identity
screenshot,indicator
China,location
Austria,location
Asia,location
Czech Republic,location
East Asia,location
Germany,location
Russia,location
Japan,location
India,location
United States,location
SpyDealer,malware
Demsty,malware
WinDealer,malware
backdoor,tool
ping,tool
LuoYu,threat-actor
UNC2452,intrusion-set
APT29,intrusion-set
NOBELIUM,intrusion-set
The Dukes,intrusion-set
Cozy Bear,intrusion-set
Dark Halo,intrusion-set
StellarParticle,intrusion-set
Europe,location
Asia,location
US,location
UK,location
Russia,location
North America,location
Middle East,location
NATO,identity
Twitter,identity
Foreign Intelligence Service,identity
SolarWinds,identity
C2,attack-pattern
supply chain compromise,attack-pattern
PowerShell,tool
7-Zip,tool
WinRM,tool
Rundll32,tool
HAMMERTOSS,malware
Raindrop,malware
APT32 ,intrusion-set
Lotus Blossom,intrusion-set
ASEAN,location
malspam,campaign
Volexity,identity
NetWitness,identity
Norton Security,identity
ASEAN Defence Minister's Meeting,identity
Accenture,identity
Palo Alto,identity
Elise,malware
Internet Explorer,tool
Microsoft Equation Editor,tool
ANY.RUN,tool
persistence,tactic
C2,tactic
command and control,tactic
FIN4,intrusion-set
email accounts,attack-pattern
spearphishing,attack-pattern
credentials,attack-pattern
pharmaceutical,identity
healthcare,identity
Outlook,identity
keylogger,indicator
NET,tool
Tor,tool
